"Данные по выработке электроэнергии по России"," за период 2013-2019 гг."
"Период","Объем выработки электроэнергии, млрд. кВтч"
"январь 2013","103,26"
"февраль 2013","91,53"
"март 2013","97,81"
"апрель 2013","85,13"
"май 2013","79,08"
"июнь 2013","74,48"
"июль 2013","76,1"
"август 2013","76,87"
"сентябрь 2013","79,53"
"октябрь 2013","90,41"
"ноябрь 2013","90,5"
"декабрь 2013","100,31"
"январь 2014","101,18"
"февраль 2014","92,34"
"март 2014","93,18"
"апрель 2014","83,62"
"май 2014","79,24"
"июнь 2014","73,96"
"июль 2014","76,27"
"август 2014","77,96"
"сентябрь 2014","79,23"
"октябрь 2014","92,01"
"ноябрь 2014","95,11"
"декабрь 2014","103,34"
"январь 2015","101,7"
"февраль 2015","91,5"
"март 2015","94,7"
"апрель 2015","85,8"
"май 2015","79,1"
"июнь 2015","74,7"
"июль 2015","77,4"
"август 2015","78,8"
"сентябрь 2015","79,3"
"октябрь 2015","91,6"
"ноябрь 2015","95,1"
"декабрь 2015","100,3"
"январь 2016","104,2"
"февраль 2016","92,9"
"март 2016","94,7"
"апрель 2016","83,9"
"май 2016","80,1"
"июнь 2016","76,5"
"июль 2016","79,1"
"август 2016","81,2"
"сентябрь 2016","81,2"
"октябрь 2016","93,2"
"ноябрь 2016","98,8"
"декабрь 2016","106,1"
"январь 2017","104,18"
"февраль 2017","93,42"
"март 2017","95,16"
"апрель 2017","86,75"
"май 2017","82,56"
"июнь 2017","77,16"
"июль 2017","79,4"
"август 2017","82,03"
"сентябрь 2017","82,13"
"октябрь 2017","92,78"
"ноябрь 2017","95,37"
"декабрь 2017","102,79"
"январь 2018","103,53"
"февраль 2018","94,62"
"март 2018","100,5"
"апрель 2018","87"
"май 2018","82,18"
"июнь 2018","78,99"
"июль 2018","81,78"
"август 2018","82,87"
"сентябрь 2018","82,3"
"октябрь 2018","91,85"
"ноябрь 2018","98,02"
"декабрь 2018","108,06"
"Всего за 2019 год","1096,43"
"Всего за период 2013-2019 гг.","7476,21"
